film_id,film_name,watch_rating,cinema_score,released_date,run_time_minutes,budget_millions,total_box_office,rotten_tomatoes_score,rotten_tomatoes_counts_millions,metacritic_score,metacritic_counts_millions,imdb_score,imdb_counts_millions
1,Toy Story,NA,A,22/11/1995,0.0,0.0,171210907,0.0,0.0,0.0,0.0,8.3,185247.0
0.0,A Bug's Life,G,A,25/11/1998,46.5,0.0,200460294,0.0,91,0.0,0.0,7.45,319596
8.0,NA,G,A+,24/11/1999,0.0,0.0,|,0.0,0.0,0.0,0.0,7.9,630573
0.0,"Monsters, Inc.",G,A+,02/11/2001,0.0,115000000,272900000,0.0,199,0.0,0.0,0.0,0.0
5,Finding Nemo,G,A+,30/05/2003,100,94000000,|871014978,0.0,270,0.0,0.0,8.2,0.0
6,The Incredibles,PG,A+,05/11/2004,0.0,47000000.0,|,0.0,0.0,0.0,0.0,7.45,185247.0
0.0,Cars,NA,A,NA,116,0.0,|461983149,0.0,201.0,0.0,0.0,0.0,0.0
0.0,Ratatouille,NA,A,29/06/2007,0.0,0.0,417280431,0.0,253,0.0,0.0,8.1,185247.0
0.0,NA,G,A,27/06/2008,46.5,0.0,|521311860,0.0,261,0.0,0.0,0.0,0.0
10,Up,PG,A+,NA,46.5,175000000,442094918,0.0,297,0.0,0.0,8.3,185247.0
11,Toy Story 3,G,NA,18/06/2010,0.0,0.0,651964823,0.0,201.0,0.0,0.0,8.3,185247.0
8.0,Cars 2,G,NA,24/06/2011,106,0.0,36840000000,0.0,0.0,0.0,0.0,0.0,225724
0.0,Brave,NA,NA,NA,93,0.0,301700000,0.0,0.0,0.0,0.0,7.45,452012
14,Monsters University,NA,NA,21/06/2013,104,47000000.0,475066843,0.0,203,0.0,0.0,0.0,398903
15,NA,NA,NA,19/06/2015,0.0,0.0,501149463,0.0,387,0.0,0.0,0.0,0.0
16,NA,PG,A,25/11/2015,93,47000000.0,209120551,0.0,0.0,0.0,0.0,7.45,130324
17,Finding Dory,PG,A,NA,0.0,47000000.0,|1028570889,0.0,339,0.0,0.0,7.2,0.0
0.0,NA,G,A,16/06/2017,0.0,175000000,|383930656,0.0,0.0,0.0,0.0,6.7,128849
0.0,NA,PG,A+,NA,0.0,47000000.0,604181157,0.0,0.0,0.0,0.0,8.4,0.0
20,Incredibles 2,PG,A+,NA,118,47000000.0,63422361500,0.0,0.0,0.0,0.0,7.5,341353
21,Toy Story 4,NA,A,21/06/2019,0.0,47000000.0,639356585,0.0,0.0,0.0,0.0,0.0,185247.0
8.0,NA,NA,A-,NA,0.0,0.0,80384897,0.0,0.0,0.0,0.0,7.4,185247.0
23,NA,NA,NA,NA,100,47000000.0,|,0.0,201.0,0.0,0.0,8,0.0
0.0,NA,PG,NA,18/06/2021,0.0,0,|51112314,0.0,0.0,0.0,0.0,7.4,202404
0.0,NA,NA,NA,11/03/2022,100,175000000,20414357,0.0,289,0.0,0.0,0.0,158649
0.0,Lightyear,NA,A-,17/06/2022,0.0,47000000.0,108118232,0.0,319,0.0,0.0,6.1,127045
27,Elemental,NA,NA,NA,101,0.0,34201761100,0.0,262,0.0,0.0,7.45,140174
8.0,Inside Out 2,NA,A,NA,96,0.0,|,0.0,201.0,0.0,0.0,0.0,168090
